,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6
0,17AC,VèVè_Clark,NA,NA,NA,NA,NA
1,25AC,William_Banks,NA,NA,NA,NA,NA
2,27AC,Percy_Hintzen,Tommy_Lott,Michael_Cohen,Leigh_Raiford,NA,NA
3,28AC,Stephen_A_Small,Utz_McKnight,Barnor_Hesse,Rickey_Vincent,Sherice_Nelson,NA
4,29AC,Margaret_Wilkerson,NA,NA,NA,NA,NA
5,119AC,Stephen_A_Small,NA,NA,NA,NA,NA
6,125AC,Ula_Taylor,NA,NA,NA,NA,NA
7,C133A,Nailah_Nasir,Travis_Bristol,NA,NA,NA,NA
8,136AC,Michel_Laguerre,NA,NA,NA,NA,NA
9,142B,Albert_Johnson,Karen_Jacobs,Robert_Chrisman,Frank_Wilderson,Mario_Barrera,Christopher_Knaus
10,142AC,Leigh_Raiford,NA,NA,NA,NA,NA
11,156AC,Aya_de_Leon,June_Jordan,Junichi_Semitsu,NA,NA,NA
12,158A,June_Jordan,Junichi_Semitsu,NA,NA,NA,NA
13,158B,June_Jordan,Junichi_Semitsu,Aya_de_Leon,NA,NA,NA
14,173AC,Purushottama_Bilimoria,NA,NA,NA,NA,NA
15,190AC,Charles_Henry,NA,NA,NA,NA,NA
