,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7
0,10AC,Mark_Brilliant,Pedro_Noguera,Christine_Palmer,Hertha_Sweet_Wong,Michael_Cohen,NA,NA
1,30AC,Roberta_Park,NA,NA,NA,NA,NA,NA
2,101AC,Donald_McQuade,David_Henkin,Waldo_Martin,Mark_Brilliant,Michael_Cohen,Kathleen_Moran,Robert_Nelson
3,102AC,Carlos_Camargo,Mary_Ryan,Margaret_Dubin,Christine_Palmer,Richard_Hutson,Mark_Brilliant,NA
4,110AC,Carlos_Camargo,Trane_De_Vore,Richard_Hutson,NA,NA,NA,NA
5,114,Kathleen_Moran,NA,NA,NA,NA,NA,NA
6,118AC,Annalee_Newitz,Steven_Rubio,NA,NA,NA,NA,NA
7,120,Carlos_Camargo,NA,NA,NA,NA,NA,NA
8,138AC,Mark_Brilliant,NA,NA,NA,NA,NA,NA
9,139AC,Mark_Brilliant,Waldo_Martin,Sandra_Weathers_Smith,NA,NA,NA,NA
10,170AC,Michael_Cohen,Leigh_Raiford,Beth_Piatote,NA,NA,NA,NA
11,C174,Hertha_Wong,Lewis_Watts,NA,NA,NA,NA,NA
12,C178B,Dell_Upton,NA,NA,NA,NA,NA,NA
13,179AC,Leigh_Raiford,Michael_Cohen,Kathleen_Moran,NA,NA,NA,NA
