,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13
0,XB2AC,Kim_Christensen,Rob_Cuthrell,Annelise_Morris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,XB3AC,Gisele_Bousquet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2AC,Kent_Lightfoot,Meg_Conkey,Katherine_Howlett_Hayes,Andy_Roddick,Lee_Panich,Kim_Christensen,James_Flexner,John_Chenoweth,Christine_Hastorf,Jun_Sunseri,Kristen_Vacca,NA,NA
3,3AC,Gerald_Berreman,Aihwa_Ong,Kevin_Karpiak,Sholey_Shahrokhi,Nancy_ScheperHughes,Brad_Erickson,Arpita_Roy,M_Mather_George,James_Holston,Lawrence_Cohen,Charles_Hirschkind,Brian_Karl,Julia_Morris
4,10AC,William_Simmons,Kent_Lightfoot,C_Richard_Hitchcock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,XB10AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,11AC,Stanley_Brandes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,12AC,Gerald_Berreman,Robin_Maria_DeluganC12AC_Kent_Lightfoot,Scott_Stephens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,121AC,Laurie_Wilkie,Stacy_Kozakavich,Teresa_Bulger,Annelise_Morris,Katrina_Eichner,NA,NA,NA,NA,NA,NA,NA,NA
9,121B,James_Deetz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,124AC,Patrick_Kirch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,153AC,John_Ogbu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,160AC,Charles_Briggs,JoAnn_Conrad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,162AC,JoAnn_Conrad_and_Charles_Briggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,163AC,Alan_Dundes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,172,Jack_Potter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,172AC,John_Ogbu,Aihwa_Ong,Philippe_Bourgois,Robin_Maria_Delugan,Angela_Davies,Nell_Gabiam,Anke_Schwittay,J_Thomas_Ordonez,NA,NA,NA,NA,NA
17,174AC,William_Simmons,Kent_Lightfoot,Stephen_Silliman,Beverly_Ortiz,Christine_Palmer,Tsim_Schneider,Kim_Christensen,NA,NA,NA,NA,NA,NA
