,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17,Instructor_18,Instructor_19
0,30AC,Ingrid_SeyerOchi,Gema_Cardona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,40AC,Geraldine_Clifford,Pedro_Noguera,Richard_P_Mesa,Kitty_Kelly_Epstein_and_W_Fred_Ellis,David_Keiser,Elena_Silva,Jeffrey_DuncanAndrade,Carmina_Brittain,Anne_Okahara,Jean_Yonemura_Wing,Hodari_Toure,Erica_Boas,Maris_Thompson,Kenzo_KaFai_Sung,Linn_Posey,Ingrid_SeyerOchi,Sahara_BaquedanoLopez,Jocyl_Sacramento,Michael_Dumas
2,XB40AC,Elena_Silva,Anne_Okahara,Jean_Yonemura_Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,52AC,Tony_Mirabelli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,75AC,Derek_van_Rheenen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,131AC,Rebecca_Poon,Daniel_Golub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,140AC,Glynda_Hull,Lily_Wong_Fillmore,Korina_Jocson,Mara_Mahmood,Urvashi_Sahni,David_Malinowski,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,W140A,Glynda_Hull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,180AC,Francisco_Hernandez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,C181,Nailah_Nasir,Travis_Bristol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,182AC,Lisa_Garcia_Bedolla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,186AC,Harley_Shaiken,Beatriz_Manz,Diana_Negrin_da_Silva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,190AC,Glynda_Hull,Erin_MurphyGraham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,W190A,Christyna_Serrano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
