,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15,Instructor_16,Instructor_17
0,10AC,Alex_Saragoza,Catherine_Ceniza_Choy,Justin_Gomer,Christian_Paiz,Michael_SchulzeOechtering_Castaneda,John_Dougherty,Lillia_Soto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11AC,Nelson_MaldonadoTorres,Pedro_Di_Pietro,Keith_Feldman,Gregory_Choy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,20AC,Lingchi_Wang,Elias_Barbosa,Jordan_Gonzales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,21AC,Alex_Saragoza,Kerry_Riley,Henry_Gutierrez,Gloria_Chun,Terry_Wilson,Katja_May,Beatriz_Tapia,Jason_Ferreira,Horacio_Roque_Ramírez,Victoria_Robinson,María_Villaseor,Daphne_TaylorGarcia,Timothy_Randazzo,Emad_Rezvani,Joseph_Morales,Timothy_Randazzo_and_Kenzo_Sung,Lingchi_Wang
4,XB21AC,Michael_Tuncap,Siri_Brown,Christopher_Chua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,41AC,Carlos_Muoz_Jr,Robert_Allen,José_Novoa,Jason_Ferreira,Harvey_Dong,Jason_Cato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,C73AC,Tom_Biolsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,122AC,Mario_Barrera,Maile_Ornellas,Nerissa_BalceCortes_and_Caroline_Streeter,Teresa_Osa_Hidalgo_de_la_Riva,J_Diane_Pearson,Eli_JacobsFantauzzi,Christine_Kwon,JoEllen_Anderson,Darby_Li_Po_Price,Justin_Gomer,William_Gow,Raymond_Telles,Ariko_S_Ikehara,Gregory_Choy,NA,NA,NA
8,124AC,Terry_Wilson,Patrick_LeBeau,Jonathan_Yorba,Nancy_Ordover,Celine_Salazar_Parreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,125AC,Timothy_Taylor,Josh_Kun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,130AC,Ronald_Takaki,Terry_Wilson,Helen_LaraCea,Robert_Allen,Herbert_Green,David_Leonard,Sara_Kaplan,Michael_Hurt,Kent_Haldan,Jason_Ferreira,Victoria_Robinson,Victor_Rios,Angela_Villafane,NA,NA,NA,NA
11,133AC,Jean_MoleskyPoz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,135AC,Jean_MoleskyPoz,Eithne_Luibheid,Alexandro_Gradilla,Kent_Haldan,Anthony_Tiongson,Timothy_Randazzo,Delberto_Dario_Ruiz,C_Jay_Ou,Victor_Rios,Sara_Kaplan,Victoria_Robinson_Contemporary_US_immigrations,Priya_Kandaswamy,Bao_Lo,NA,NA,NA,NA
13,141,Carlos_Muoz_Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,144AC,Rory_SnowArrow_Fausett,Karen_Biestman,Alexandra_Witkin,Charlotte_Cote,Toeutu_Faaleava,Dylan_Rodríguez,Priya_Kandaswamy,Timothy_Randazzo,Delberto_Dario_Ruiz,Kirstie_Dorr,John_Hayakawa_Torok,MarcTizoc_Gonzalez,Thomas_Fleming,Michael_Chang,Trina_Thompson,John_Powell,NA
15,145,Margarita_Melville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,147AC,Laura_Perez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,150AC,Terry_Wilson,Cynthia_Nakashima,Robert_Allen,Stephen_Small,Caroline_Streeter,Jared_Sexton,Karina_Cespedes,Mercy_Romero,Siri_Brown,NA,NA,NA,NA,NA,NA,NA,NA
18,159AC,Beatriz_Manz,Harley_Shaiken,Diana_Negrin_da_Silva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,173AC,Thomas_Biolsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,181AC,Patricia_Hilden,Victoria_Robinson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,181AC,Keith_Feldman,Tina_Sacks,Jonathan_Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,182AC,Michael_Chang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,190AC,Gloria_Chun,Sauling_Wong,Hatem_Bazian,Alex_Saragoza,Victoria_Robinson,Laura_Perez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
