,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10
0,10AC,Jake_Kosek,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,50AC,Richard_Walker,Gray_Brechin,Julie_Guthman,Lindsey_Dillon,Diana_Negrin,Alexander_Tarr,Seth_Lunine,Will_Payne,NA,NA
2,N50AC,Diana_Negrin_da_Silva,Will_Payne,John_Elrick,NA,NA,NA,NA,NA,NA,NA
3,XB50AC,Seth_Lunine,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,70AC,Michael_Johns,Victoria_Randlett,Robert_Acker,Rachel_Brahinsky,Alexander_Tarr,Javier_Arbona,John_Stehlin,Seth_Lunine,John_Elrick,ShuWei_Tsai
5,150AC,Richard_Walker,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,159AC,Beatriz_Manz,Harley_Shaiken,Diana_Negrin_da_Silva,NA,NA,NA,NA,NA,NA,NA
8,167AC,Diana_Negrin_da_Silva,NA,NA,NA,NA,NA,NA,NA,NA,NA
