,Course_Number,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Instructor_5,Instructor_6,Instructor_7,Instructor_8,Instructor_9,Instructor_10,Instructor_11,Instructor_12,Instructor_13,Instructor_14,Instructor_15
0,3AC,Bob_Blauner,Christopher_Rhomberg,Troy_Duster,Eric_Brown,Brian_Powers,Deborah_Gerson,Leslie_Bell,Christopher_Davidson,Mary_Kelsey,D_Mark_Wilson,Sandra_Smith,Tiffany_L_Page,Nora_Broege,Kristen_Nelson,Laleh_Behbehanian
1,XB3AC,David_Nasatir,Leslie_Bell,Christopher_Davidson,James_Stockinger,Sanghamitra_Niyogi,Pamela_Perry,Nora_Broege,Elif_KaleLoustuvali,NA,NA,NA,NA,NA,NA,NA
2,111AC,Mary_Kelsey,Joanna_Reed,Mario_Castillo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,113AC,Brian_Powers,Rebecca_Tarlau,Jason_Scott,Fithawee_Tzeggai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,124AC,Martin_SanchezJankowski,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,125AC,Claude_Fischer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,128AC,Dara_ORourke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,127,Russell_Thornton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,130AC,Joanna_Reed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,131AC,Andrew_Barlow,Mary_Kelsey,Sandra_Smith,Cybelle_Fox,Zawadi_RucksAhidana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,132AC,Bob_Blauner,Nadesan_Permaul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,137AC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,144AC,Martin_SanchezJankowski,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,146AC,Irene_Bloemraad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,152AC,Andrew_Barlow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,170AC,Andrew_Barlow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,190AC,Irene_Bloemraad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
